Status,Mogibacteriaceae.,Odoribacteraceae.Odoribacter,Tissierellaceae.1.68,Tissierellaceae.Anaerococcus,Tissierellaceae.Finegoldia,Tissierellaceae.Peptoniphilus,Tissierellaceae.ph2,Tissierellaceae.WAL_1855D,Actinomycetaceae.Actinomyces,Actinomycetaceae.Varibaculum,Aerococcaceae.Aerococcus,Aerococcaceae.Facklamia,Alcaligenaceae.Sutterella,Bacteroidaceae.Bacteroides,Bifidobacteriaceae.,Bifidobacteriaceae.Bifidobacterium,Bifidobacteriaceae.Gardnerella,Campylobacteraceae.Campylobacter,Carnobacteriaceae.Granulicatella,Christensenellaceae.,Clostridiaceae.,Clostridiaceae.02d06,Clostridiaceae.Clostridium,Clostridiaceae.Sarcina,Clostridiaceae.SMB53,Coriobacteriaceae.,Coriobacteriaceae.Adlercreutzia,Coriobacteriaceae.Atopobium,Coriobacteriaceae.Collinsella,Coriobacteriaceae.Eggerthella,Corynebacteriaceae.Corynebacterium,Desulfovibrionaceae.Bilophila,Desulfovibrionaceae.Desulfovibrio,Enterobacteriaceae.,Enterobacteriaceae.Aquamonas,Enterobacteriaceae.Citrobacter,Enterobacteriaceae.Enterobacter,Enterobacteriaceae.Erwinia,Enterobacteriaceae.Klebsiella,Enterobacteriaceae.Proteus,Enterobacteriaceae.Raoultella,Enterobacteriaceae.Salmonella,Enterobacteriaceae.Serratia,Enterococcaceae.Enterococcus,Erysipelotrichaceae.,Erysipelotrichaceae.Eubacterium.,Erysipelotrichaceae.Clostridium,Erysipelotrichaceae.Coprobacillus,Erysipelotrichaceae.Holdemania,Fusobacteriaceae.Fusobacterium,Gemellaceae.,Lachnospiraceae.,Lachnospiraceae.Ruminococcus.,Lachnospiraceae.Anaerostipes,Lachnospiraceae.Blautia,Lachnospiraceae.Clostridium,Lachnospiraceae.Coprococcus,Lachnospiraceae.Dorea,Lachnospiraceae.Epulopiscium,Lachnospiraceae.Lachnobacterium,Lachnospiraceae.Lachnospira,Lachnospiraceae.Roseburia,Lactobacillaceae.Lactobacillus,Listeriaceae.Listeria,Methylobacteriaceae.Methylobacterium,Microbacteriaceae.Agrococcus,Micrococcaceae.Rothia,Moraxellaceae.,Moraxellaceae.Acinetobacter,Mycoplasmataceae.Ureaplasma,Pasteurellaceae.,Pasteurellaceae.Aggregatibacter,Pasteurellaceae.Haemophilus,Peptostreptococcaceae.,Peptostreptococcaceae.Clostridium.,Planococcaceae.,Porphyromonadaceae.Dysgonomonas,Porphyromonadaceae.Parabacteroides,Porphyromonadaceae.Porphyromonas,Prevotellaceae.Prevotella,Pseudomonadaceae.Pseudomonas,Rikenellaceae.,Rikenellaceae.Alistipes,Ruminococcaceae.,Ruminococcaceae.Anaerotruncus,Ruminococcaceae.Faecalibacterium,Ruminococcaceae.Oscillospira,Ruminococcaceae.Ruminococcus,S24.7.,Sphingomonadaceae.Sphingomonas,Staphylococcaceae.Staphylococcus,Streptococcaceae.Lactococcus,Streptococcaceae.Streptococcus,Turicibacteraceae.Turicibacter,Veillonellaceae.,Veillonellaceae.Acidaminococcus,Veillonellaceae.Dialister,Veillonellaceae.Megasphaera,Veillonellaceae.Mitsuokella,Veillonellaceae.Phascolarctobacterium,Veillonellaceae.Veillonella,Verrucomicrobiaceae.Akkermansia,Xanthomonadaceae.Stenotrophomonas
Cesarean,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,5.301333238182352e-5,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,0.02237162626512952,0.0018024533009819994,9.631310521089685e-6,0.024439146228020642,9.631310521089685e-6,5.301333238182352e-5,1.5903999714547056e-4,1.0602666476364703e-4,5.301333238182352e-4,9.631310521089685e-6,0.0073688532010734685,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,5.301333238182352e-5,9.631310521089685e-6,2.1205332952729407e-4,1.0602666476364703e-4,9.631310521089685e-6,0.002544639954327529,9.631310521089685e-6,7.951999857273527e-4,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,0.009224319834437292,2.1205332952729407e-4,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,5.301333238182352e-5,5.301333238182352e-5,0.0847683184785358,0.020569172964147522,9.631310521089685e-6,0.05518687900947828,9.631310521089685e-6,0.014578666405001465,0.0031277866105275877,9.631310521089685e-6,9.631310521089685e-6,0.0689703454287524,0.10857130471797456,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,5.301333238182352e-5,2.650666619091176e-4,0.05248319905800528,2.650666619091176e-4,5.301333238182352e-5,5.301333238182352e-5,1.0602666476364703e-4,5.301333238182352e-5,9.631310521089685e-6,0.01463167973738329,9.631310521089685e-6,0.01463167973738329,9.631310521089685e-6,0.04659871916362287,5.301333238182352e-5,0.3967517795455672,0.0049832532438914105,0.02777898616807552,9.631310521089685e-6,9.631310521089685e-6,1.0602666476364703e-4,9.631310521089685e-6,0.006573653215346116,6.361599885818822e-4,9.631310521089685e-6,0.0010602666476364703,0.005142293241036881,9.631310521089685e-6,9.631310521089685e-6,9.631310521089685e-6,0.001113279980018294,1.5903999714547056e-4,9.631310521089685e-6
Cesarean,9.482355897517279e-5,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,0.03655448198492911,0.4773417958810198,9.630660484705254e-6,0.003508471682081393,4.741177948758639e-5,9.630660484705254e-6,9.630660484705254e-6,3.3188245641310477e-4,0.002749883210280011,9.630660484705254e-6,6.163531333386231e-4,9.630660484705254e-6,2.37058897437932e-4,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,6.637649128262095e-4,9.630660484705254e-6,9.630660484705254e-6,0.003034353887205529,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,4.741177948758639e-5,9.630660484705254e-6,4.741177948758639e-5,0.0017068240615531103,0.0019438829589910423,9.630660484705254e-6,3.7929423590069114e-4,9.956473692393141e-4,9.482355897517279e-5,9.630660484705254e-6,0.05708378250305402,0.002275765415404147,9.630660484705254e-6,0.007206590482113132,9.630660484705254e-6,0.00711176692313796,0.002512824312842079,9.630660484705254e-6,9.630660484705254e-6,0.025270478466883548,0.022141301020702848,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,0.0010430591487269008,0.0016120005025779375,3.3188245641310477e-4,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,4.741177948758639e-5,9.630660484705254e-6,2.37058897437932e-4,9.630660484705254e-6,0.13502874798064604,9.630660484705254e-6,0.012516709784722807,1.8964711795034557e-4,0.1680273465040062,0.012990827579598671,0.009672003015467626,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,6.163531333386231e-4,3.7929423590069114e-4,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,1.8964711795034557e-4,0.002512824312842079,9.630660484705254e-6
Cesarean,1.9303236540410128e-4,9.630660484705254e-6,9.630660484705254e-6,3.217206090068355e-5,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,3.217206090068355e-5,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,0.015281728927824683,0.3586219628599195,9.630660484705254e-6,0.004439744404294329,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,4.504088526095696e-4,0.006884821032746278,3.217206090068355e-5,5.147529744109368e-4,9.630660484705254e-6,6.43441218013671e-5,9.630660484705254e-6,1.9303236540410128e-4,9.630660484705254e-6,0.0016086030450341772,9.630660484705254e-6,9.630660484705254e-6,0.0016086030450341772,9.630660484705254e-6,1.6086030450341773e-4,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,0.00608051951022919,0.011581941924246076,9.630660484705254e-6,0.0048579811960032145,0.0012547103751266583,9.630660484705254e-6,3.217206090068355e-5,0.07142197519951747,0.015667793658632884,9.630660484705254e-6,0.007978671103369517,3.217206090068355e-5,0.025448100172440685,0.004150195856188177,9.630660484705254e-6,9.630660484705254e-6,0.0426279806934057,0.006466584241037392,3.217206090068355e-5,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,1.286882436027342e-4,3.217206090068355e-5,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,3.217206090068355e-5,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,0.04629559563608362,9.630660484705254e-6,0.040665484978464,3.2172060900683547e-4,0.2388775521875753,0.008107359346972253,0.07277320175734618,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,0.0025094207502533166,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,0.0018981515931403292,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6,9.630660484705254e-6
Cesarean,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,5.3482996002784006e-5,1.0696599200556801e-4,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,0.2263935220797847,9.63056762236462e-6,0.3835265643359641,9.63056762236462e-6,9.63056762236462e-6,1.6044898800835202e-4,9.63056762236462e-6,0.0065784085083424315,9.63056762236462e-6,0.001016176924052896,9.63056762236462e-6,9.63056762236462e-6,1.0696599200556801e-4,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,0.00294156478015312,9.63056762236462e-6,9.63056762236462e-6,5.3482996002784006e-5,0.10258038633333971,9.63056762236462e-6,9.63056762236462e-6,1.0696599200556801e-4,9.63056762236462e-6,5.883129560306239e-4,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,5.3482996002784006e-5,2.6741498001392e-4,1.0696599200556801e-4,9.63056762236462e-6,5.3482996002784006e-5,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,0.020002640505041216,0.04776031543048612,9.63056762236462e-6,5.3482996002784006e-5,9.63056762236462e-6,5.3482996002784006e-5,0.09289996405683582,9.63056762236462e-6,9.63056762236462e-6,5.3482996002784006e-5,5.3482996002784006e-5,9.62693928050112e-4,9.63056762236462e-6,9.63056762236462e-6,5.3482996002784006e-5,9.63056762236462e-6,9.63056762236462e-6,5.3482996002784006e-5,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,3.74380972019488e-4,8.0224494004176e-4,0.010589633208551233,9.63056762236462e-6,9.63056762236462e-6,1.6044898800835202e-4,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,1.6044898800835202e-4,9.63056762236462e-6,5.3482996002784006e-5,0.017809837668927072,0.004064707696211584,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,0.0331059745257233,9.63056762236462e-6,5.3482996002784006e-5,9.63056762236462e-6,9.63056762236462e-6,5.3482996002784006e-5,9.63056762236462e-6,9.63056762236462e-6,0.045514029598369185,9.63056762236462e-6,9.63056762236462e-6
Vaginal,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,1.3621948898875731e-4,9.629824723639557e-6,9.629824723639557e-6,2.7243897797751463e-4,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,0.04059340771864967,0.39503651806739626,9.629824723639557e-6,0.12654790527055554,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,0.0028606092687639036,9.629824723639557e-6,0.00967158371820177,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,4.0865846696627197e-4,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,0.007219632916404137,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,1.3621948898875731e-4,0.002996828757752661,9.535364229213011e-4,9.629824723639557e-6,0.0012259754008988157,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,0.0223399961941562,0.005721218537527807,9.629824723639557e-6,0.0010897559119100585,9.629824723639557e-6,8.173169339325439e-4,0.0014984143788763305,9.629824723639557e-6,9.629824723639557e-6,0.029014751154605306,0.002724389779775146,8.173169339325439e-4,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,1.3621948898875731e-4,1.3621948898875731e-4,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,0.0044952431366289914,9.629824723639557e-6,0.12586680782561174,0.002179511823820117,1.3621948898875731e-4,9.629824723639557e-6,9.629824723639557e-6,1.3621948898875731e-4,9.629824723639557e-6,6.810974449437865e-4,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,9.629824723639557e-6,0.19860801494560817,9.629824723639557e-6,9.629824723639557e-6,0.014847924299774546,9.629824723639557e-6,9.629824723639557e-6
Vaginal,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,0.047831934310954984,0.41606597796020606,2.5660908965104606e-4,0.19030130088521574,9.63112479640842e-6,9.63112479640842e-6,2.5660908965104606e-4,1.0264363586041842e-4,0.006004652697834478,5.132181793020921e-5,0.0028226999861615068,5.132181793020921e-5,9.63112479640842e-6,5.132181793020921e-5,9.63112479640842e-6,9.63112479640842e-6,0.009648501770879333,1.5396545379062765e-4,9.63112479640842e-6,0.012881776300482511,9.63112479640842e-6,0.010469650857762679,9.63112479640842e-6,9.63112479640842e-6,5.132181793020921e-5,9.63112479640842e-6,3.592527255114645e-4,9.63112479640842e-6,9.63112479640842e-6,5.132181793020921e-5,9.63112479640842e-6,1.5396545379062765e-4,0.007544307235740754,6.671836330927198e-4,9.63112479640842e-6,1.0264363586041842e-4,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,0.06974635056715432,0.020682692625874313,9.63112479640842e-6,0.0029253436220219257,9.63112479640842e-6,0.008108847232973055,0.003643849073044854,9.63112479640842e-6,6.671836330927198e-4,0.04105745434416737,0.014010856294947114,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,5.132181793020921e-5,9.63112479640842e-6,5.132181793020921e-5,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,0.001180401812394812,9.63112479640842e-6,5.132181793020921e-5,9.63112479640842e-6,9.63112479640842e-6,0.03392372165186829,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,0.006517870877136569,9.63112479640842e-6,0.05399055246258009,8.724709048135565e-4,1.0264363586041842e-4,0.026276770780267116,8.724709048135565e-4,1.5396545379062765e-4,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,6.158618151625106e-4,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,9.63112479640842e-6,8.211490868833474e-4,0.007236376328159499,9.63112479640842e-6
Cesarean,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,1.964969058804603e-4,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,1.964969058804603e-4,3.9299381176092065e-5,0.18722225192290262,3.9299381176092065e-5,9.63056762236462e-6,0.0029867529693829967,9.63056762236462e-6,4.715925741131048e-4,9.63056762236462e-6,0.03682352016199827,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,3.9299381176092065e-5,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,0.4738719382213181,9.63056762236462e-6,9.63056762236462e-6,0.005501913364652889,5.501913364652889e-4,3.143950494087365e-4,3.9299381176092065e-5,9.63056762236462e-6,7.859876235218413e-5,1.964969058804603e-4,0.0022007653458611556,0.0062879009881747295,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,5.89490717641381e-4,0.05140359057832842,0.03823829788433758,9.63056762236462e-6,7.859876235218413e-5,9.63056762236462e-6,7.859876235218413e-5,9.63056762236462e-6,3.9299381176092065e-5,9.63056762236462e-6,3.9299381176092065e-5,9.63056762236462e-6,9.63056762236462e-6,1.178981435282762e-4,9.63056762236462e-6,9.63056762236462e-6,0.016977332668071773,9.63056762236462e-6,0.002554459776445984,9.63056762236462e-6,9.824845294023016e-4,3.9299381176092065e-5,0.10858419018954237,9.63056762236462e-6,9.63056762236462e-6,9.038857670501174e-4,9.63056762236462e-6,7.859876235218413e-5,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,3.9299381176092065e-5,9.63056762236462e-6,7.859876235218413e-5,7.859876235218413e-5,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,0.02247924603272466,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,9.63056762236462e-6,3.9299381176092065e-5,9.63056762236462e-6,9.63056762236462e-6,0.03890638736433114,9.63056762236462e-6,9.63056762236462e-6
Cesarean,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,2.9235109280468098e-5,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,2.9235109280468098e-5,2.9235109280468098e-5,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,0.010319993576005238,0.33716851533163855,8.77053278414043e-5,0.016868658054830094,2.9235109280468098e-5,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,1.1694043712187239e-4,9.631031934067786e-6,0.0010524639340968515,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,0.009764526499676345,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,1.461755464023405e-4,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,2.9235109280468098e-5,9.631031934067786e-6,5.554670763288939e-4,4.092915299265534e-4,9.631031934067786e-6,1.461755464023405e-4,6.431724041702982e-4,9.631031934067786e-6,9.631031934067786e-6,0.03648541638202419,0.004940733468399109,1.754106556828086e-4,0.007513423085080301,2.9235109280468098e-5,0.0026311598352421286,5.8470218560936196e-5,9.631031934067786e-6,9.631031934067786e-6,0.0078057741778849825,7.016426227312344e-4,2.9235109280468098e-5,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,2.631159835242129e-4,9.631031934067786e-6,8.77053278414043e-5,9.631031934067786e-6,9.631031934067786e-6,2.9235109280468098e-5,5.8470218560936196e-5,0.3294796815908755,9.631031934067786e-6,2.9235109280468098e-5,9.631031934067786e-6,0.035082131136561716,2.9235109280468098e-5,0.11869454367870048,0.010173818029602898,5.84702185609362e-4,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,4.6776174848748957e-4,9.631031934067786e-6,9.631031934067786e-6,9.631031934067786e-6,0.06636369806666258,2.9235109280468098e-5,9.631031934067786e-6,2.9235109280468098e-5,2.9235109280468098e-5,2.046457649632767e-4,9.631031934067786e-6
Cesarean,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,6.16993713196748e-5,6.16993713196748e-5,6.16993713196748e-5,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,4.3189559923772363e-4,0.012339874263934961,0.257471476517003,9.630196173002089e-6,0.004010459135778863,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,0.005984839018008456,9.630196173002089e-6,0.013388763576369433,9.630196173002089e-6,9.630196173002089e-6,0.001233987426393496,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,0.0013573861690328456,9.630196173002089e-6,9.630196173002089e-6,0.0035785635365411387,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,0.01258667174921366,9.630196173002089e-6,0.006910329587803578,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,0.16263954279866277,0.0035785635365411387,9.630196173002089e-6,0.020977786248689432,9.630196173002089e-6,0.01400575728956618,5.552943418770732e-4,9.630196173002089e-6,9.630196173002089e-6,0.038500407703477076,0.0027764717093853664,6.16993713196748e-5,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,0.004689152220295285,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,0.047693614030108626,9.630196173002089e-6,9.630196173002089e-6,0.0033317660512624395,0.014684450374082603,9.630196173002089e-6,0.09822539914092229,9.630196173002089e-6,0.13635561061648133,0.011044187466221789,0.11260135265840653,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,0.001604183654311545,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,9.630196173002089e-6,0.00320836730862309,6.16993713196748e-5,1.233987426393496e-4,0.003146667937303415
