Status,Eggerthella_unclassified___Enterococcus_faecium,Haemophilus_haemolyticus___Streptococcus_parasanguinis,Clostridium_hathewayi___Enterococcus_faecium,Clostridium_hathewayi___Lactococcus_lactis,Haemophilus_haemolyticus___Haemophilus_paraphrohaemolyticus,Actinomyces_odontolyticus___Clostridium_hathewayi,Escherichia_unclassified___Haemophilus_haemolyticus,Akkermansia_muciniphila___Clostridium_difficile,Bacteroides_dorei___Granulicatella_unclassified,Bacteroides_dorei___Dorea_unclassified,Bacteroides_cellulosilyticus___Bacteroides_dorei,Clostridium_hathewayi___Lachnospiraceae_bacterium_9_1_43BFAA,Faecalibacterium_prausnitzii___Haemophilus_haemolyticus,Clostridium_hathewayi___Erysipelotrichaceae_bacterium_21_3,Bacteroides_dorei___Lachnospiraceae_bacterium_2_1_58FAA,Akkermansia_muciniphila___Alistipes_unclassified,Clostridium_clostridioforme___Clostridium_hathewayi,Bacteroides_dorei___Erysipelotrichaceae_bacterium_6_1_45,Akkermansia_muciniphila___Alistipes_onderdonkii,Anaerotruncus_unclassified___Haemophilus_haemolyticus,Clostridium_hathewayi___Enterococcus_faecalis,Clostridium_hathewayi___Collinsella_aerofaciens,Bacteroides_dorei___Roseburia_intestinalis,Bacteroides_vulgatus___Veillonella_parvula,Oscillibacter_unclassified___Streptococcus_salivarius,Akkermansia_muciniphila___Bacteroides_thetaiotaomicron,Eubacterium_eligens___Haemophilus_haemolyticus,Bacteroides_dorei___Eubacterium_rectale,Bacteroides_dorei___Ruminococcus_sp_5_1_39BFAA,Bacteroides_dorei___Dorea_formicigenerans,Clostridium_hathewayi___Enterococcus_casseliflavus,Eggerthella_unclassified___Streptococcus_australis,Collinsella_aerofaciens___Veillonella_unclassified,Actinobacillus_unclassified___Eggerthella_unclassified,Anaerostipes_hadrus___Haemophilus_haemolyticus,Clostridium_hathewayi___Lactobacillus_casei_paracasei,Eggerthella_lenta___Eggerthella_unclassified
FA,8.13193898836131,0,0,0,0,3.6835879923794312,0,-9.333340377323902,-2.7634337656802317,0,0,-7.626441858585682,0,0,-5.16659374791871,0,0,-1.4576782670443535,0,0,-4.718518291011587,0,-10.742198037194788,-10.821650815842775,0,0,0,-10.184271474762854,0,0,-4.802557218116285,8.13193898836131,-12.562607566338077,-8.13193898836131,0,0,-1.6388553882821042
none,0,-5.370208655530264,0,0,0,0,0,-8.199308351088566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.855265376602405,3.670848991237569,-4.034396814464063,0,0,0,0,0,0,0,0,0,5.650320498054754,0,0
none,0,0,0,0,0,0,4.693301022570712,-6.395160414264306,3.714221551282774,3.714221551282774,-3.714221551282774,0,0,0,3.714221551282774,1.149272193821237,0,3.714221551282774,1.149272193821237,0,0,0,3.714221551282774,9.274953377122653,0,1.149272193821237,0,3.714221551282774,3.714221551282774,3.714221551282774,0,-4.454047666826377,-5.565553853045437,0,0,0,0
none,0,5.161768977904374,0,0,5.161768977904374,0,5.784798055763483,4.906452189954624,1.0950264488778076,6.460004763195574,-6.460004763195574,0,-5.161768977904374,0,6.460004763195574,4.906452189954624,0,6.460004763195574,4.906452189954624,-5.161768977904374,0,0,-0.1841658860060335,-4.580924857779369,0,4.906452189954624,-5.161768977904374,6.460004763195574,6.460004763195574,6.460004763195574,0,0,-11.398523660634265,0,-5.161768977904374,0,0
FA,3.473208197815396,0.6152727256107464,7.748147237061817,7.748147237061817,5.818794726802629,-7.748147237061817,-5.818794726802629,11.626122718317333,-3.4361669261350474,0,0,7.748147237061817,5.005147598501437,7.748147237061817,-2.056142178028752,11.626122718317333,-7.748147237061817,0,11.626122718317333,-5.818794726802629,7.748147237061817,7.748147237061817,0,-4.750552788696614,9.946181900718866,11.626122718317333,-5.818794726802629,0,0,0,7.748147237061817,3.473208197815396,-10.182105951363479,-3.473208197815396,-5.818794726802629,7.748147237061817,-3.473208197815396
none,5.765440973830625,0,0,0,0,0,0,0.12168511122241331,8.68456359126766,8.834003946794736,-8.765669186552334,0,0,0,8.24111336997444,4.566202979136025,0,12.907639070738334,4.566202979136025,0,0,0,12.907639070738334,-8.120376745786903,0,-6.717447342925976,0,12.907639070738334,12.907639070738334,12.907639070738334,0,5.765440973830625,-6.887210300863532,-5.765440973830625,0,0,-0.05703368223547115
none,0,2.3538276048421847,0,0,2.7016136013636713,0,2.727664101048447,4.123073616486967,0.6264862673982238,1.43830026626156,6.917694078870691,0,5.036007988127163,0,-3.1906304813490936,4.123073616486967,0,5.7221779470665215,4.123073616486967,-1.7915368264574592,0,0,5.7221779470665215,-8.175508598858489,0,4.123073616486967,4.45432917198576,5.7221779470665215,5.7221779470665215,5.7221779470665215,0,0,0,4.7901838232639165,-7.166928274552853,0,0
none,5.066258971836909,0,0,0,-4.909689911145368,0,8.502930741692724,3.630449546189638,5.305218812594403,-2.642244961599879,8.181742135542441,0,11.295765201757543,0,5.305218812594403,3.630449546189638,0,5.305218812594403,3.630449546189638,0,0,0,5.305218812594403,-9.500448842437757,0,3.630449546189638,9.901821733677066,5.305218812594403,5.305218812594403,5.305218812594403,0,5.066258971836909,0,0.22266034280033795,0,0,-5.066258971836909
FA,0,0.9634094073869885,0,0,-1.2966121612650718,0,1.8470179968116784,2.864135077268552,-2.1972245773362196,3.1129353621761253,-3.1129353621761258,0,-7.744751768572075,0,-7.228554674978242,2.864135077268552,0,3.1129353621761253,2.864135077268552,-7.744751768572075,0,0,3.1129353621761253,-4.848763404414002,0,2.864135077268552,-7.744751768572075,3.1129353621761253,3.1129353621761253,3.1129353621761253,0,-6.515746712349443,-11.775036397984582,8.746497024824903,-7.744751768572075,0,0
FA,8.304246603206039,5.033561367161473,8.324176289184651,0.31174273429001625,5.033561367161473,-8.324176289184651,-5.033561367161473,0,-4.340414186601528,0,0,8.324176289184651,7.276315623387912,8.324176289184651,-4.933050185565085,0,-8.324176289184651,0,0,1.775058277504644,8.324176289184651,8.324176289184651,0,-2.610256038080868,-7.134336226777702,0,-5.033561367161473,0,0,0,8.324176289184651,1.566505487100779,-9.355879464191904,-3.0311763306440906,-5.033561367161473,8.324176289184651,-8.304246603206039
none,6.753757469407534,0,0,0,-6.499053506873669,0,0,0,6.740422431709499,-0.16549515597933245,-2.978811396065654,0,12.00590981535624,0,-1.7555406924713615,0,0,0.31062044154058033,-7.101218564703503,5.765868479977328,0,0,-2.540562333948986,3.4062654027745585,0,-9.047672395174907,10.336509012757903,6.740422431709499,6.740422431709499,6.740422431709499,0,6.753757469407534,-9.209138806888632,-0.056577479046742485,8.113115036849678,0,-6.753757469407534
FA,7.609898082196434,-6.660726686090552,5.822206158660663,5.822206158660663,-6.814334966926323,-5.822206158660663,0,0,12.7796587976353,12.7796587976353,-12.7796587976353,5.822206158660663,0,-1.1293810866652092,12.7796587976353,0,-5.822206158660663,12.7796587976353,0,4.764381879228433,5.822206158660663,5.822206158660663,1.3053699666148824,-3.7831108545375582,-5.312512717296959,-11.10963179981091,0,12.7796587976353,12.7796587976353,12.7796587976353,5.822206158660663,5.161237773867417,-9.207618320956165,-1.6153797005628516,0,5.822206158660663,-0.9757238245070228
none,0,0,0,-6.787626817610183,0,0,8.68056541077909,0,0,-7.656432565294233,0,0,11.739184346754408,0,0,0,0,0,0,0,0,-8.907429816124395,0,12.739039514899568,0,0,10.281918311687752,0,0,0,0,0,1.7747503967386409,0,8.82317487522412,0,0
FA,6.361629819062894,7.052526717388103,5.3771308371622055,-1.258855904328749,-0.030890487019338445,-5.3771308371622055,-0.3817192483791406,0,6.861708591040921,0.2792689440100376,-2.9980575033333805,3.690663575907438,-7.052526717388103,5.3771308371622055,2.488852625465123,0,-5.3771308371622055,6.861708591040921,0,-7.052526717388103,5.3771308371622055,5.3771308371622055,0.9010584501887055,0.14402250269209052,0,-4.216472462330283,-7.052526717388103,6.861708591040921,-3.454224504826976,6.861708591040921,5.3771308371622055,6.361629819062894,-5.475919000008978,0.3770944109789489,-7.052526717388103,1.190985608799125,-1.1873507033092001
none,0,0,6.048726051276828,6.048726051276828,0,-6.048726051276828,8.108749507099562,0,6.533576188639558,0.8775762196934647,4.4863273784454885,6.048726051276828,10.329065377811753,6.048726051276828,6.533576188639558,0,-6.048726051276828,6.533576188639558,0,0,6.048726051276828,-2.4581999019261933,1.4858239564669238,-3.0416496980287397,7.345675312060869,0,0,6.533576188639558,-2.7469334754130794,6.533576188639558,6.048726051276828,0,-1.5383527711180884,0,6.643138391151084,6.048726051276828,4.544648654500554
none,0,0,0,-4.63621283014006,0,0,9.885786964502845,-5.828500528384559,1.036015668579017,1.5421243024668687,5.0577702060615835,0,8.694008447623135,0,1.6302057705163433,0,0,5.431742117603571,0,0,0,0,0.05164658886216697,-0.8195077202849929,0,0,0,5.431742117603571,5.431742117603571,5.431742117603571,0,0,-4.440794734426261,0,0,0,0
none,5.619362467409732,0,0,0,0,0,8.244110036037945,0,6.122764732218311,-0.7485262344998165,5.140979456030214,-5.629046835176238,0,0,6.122764732218311,0,0,6.122764732218311,0,0,0,-7.803614548703726,-4.373659373633623,-5.195518771297607,0,0,0,6.122764732218311,6.122764732218311,6.122764732218311,0,5.619362467409732,-2.677724539007663,-5.619362467409732,0,0,-2.7392842087533404
FA,5.630791221767638,2.041041733560893,9.722861518187173,9.722861518187173,2.041041733560893,-9.722861518187173,6.151242222800372,0,10.171023450976747,10.171023450976747,-5.6471605741188755,9.722861518187173,1.5475625087160128,9.722861518187173,10.171023450976747,0,-9.722861518187173,10.171023450976747,0,-2.041041733560893,9.722861518187173,9.722861518187173,5.402128889017464,2.5996668539875643,0,0,-2.041041733560893,10.171023450976747,10.171023450976747,10.171023450976747,9.722861518187173,5.630791221767638,-10.988176362125463,-5.630791221767638,-2.041041733560893,9.722861518187173,-5.630791221767638
none,8.89204675753571,-7.2831272676275685,0,0,0,6.939044327445236,9.8698954266359,2.9197324343062343,5.30966799407929,0.9964000373966055,-5.30966799407929,0,0,0,5.30966799407929,2.9197324343062343,0,-2.225933007855453,2.9197324343062343,0,-4.774393911896403,0,5.30966799407929,-5.198867532625762,-8.306252328607187,2.9197324343062343,0,5.30966799407929,5.30966799407929,5.30966799407929,-8.665972774018893,8.89204675753571,-10.949477702404469,-4.334221155034998,0,-4.546461843850396,-2.413980689776143
none,3.2168996245429624,-4.249460071471937,4.844592532962102,8.674382712027557,0,-8.674382712027557,8.366189725155815,4.092484531009124,-0.38984830261831,5.614010571120344,-5.614010571120344,8.674382712027557,0,6.784085547696781,5.614010571120344,4.092484531009124,-8.674382712027557,-0.5290371608299284,4.092484531009124,0,8.674382712027557,8.674382712027557,-7.645229137909485,-2.5868097027669212,0,4.092484531009124,0,5.614010571120344,5.614010571120344,5.614010571120344,8.674382712027557,7.046689803608417,-10.932418458513053,-7.046689803608417,0,6.201286424305701,-3.0032429921605086
FA,6.06654600632735,0,5.790965161154538,5.790965161154538,0,-5.790965161154538,7.243786042446886,0,1.1447033958683765,5.326230644588814,-5.326230644588814,3.621985219283906,3.6899080289987616,5.790965161154538,3.4255146893128616,0,-5.790965161154538,5.326230644588814,0,0,5.790965161154538,5.790965161154538,-4.276339350028391,-1.8296756916746775,10.207776736027533,0,0,5.326230644588814,5.326230644588814,5.326230644588814,5.790965161154538,6.06654600632735,-8.940659417488336,-1.8632449580573522,7.834795818602982,5.790965161154538,-2.353765315662597
FA,7.140032369340121,6.657898013784405,5.381283186131601,5.381283186131601,6.657898013784405,-5.3812831861316015,1.2188981781467745,0,-0.10256117549157634,4.333941900028796,-4.333941900028796,5.381283186131601,-6.657898013784405,-0.8536466849631809,4.333941900028796,0,-5.3812831861316015,4.333941900028796,0,-6.657898013784405,5.381283186131601,5.381283186131601,4.333941900028796,1.5010027754536968,-8.791063041309197,0,-6.657898013784405,4.333941900028796,4.333941900028796,-5.130868147805654,5.381283186131601,7.140032369340121,-9.41424074281786,-7.140032369340121,-6.657898013784405,5.381283186131601,-6.040331513243582
none,8.091008786817248,-4.299231305943569,7.859547699785094,1.26070870188312,0,-7.859547699785094,6.35560475937313,10.237597944128519,8.229840755437364,8.228570913996887,-12.590650123600119,2.6478166223699175,8.275142283110068,1.416758717514031,3.9709441772436014,10.237597944128519,-1.2044467470902085,6.29103510843874,10.237597944128519,0,7.859547699785094,7.859547699785094,3.721147884983595,-1.4616770307056128,3.5417070007767375,10.237597944128519,9.396936533873527,2.3052758374344675,12.59065012360012,12.59065012360012,7.859547699785094,8.091008786817248,-5.487404271924742,-8.091008786817248,0,0.7640243418620472,-2.553403249830411
FA,7.226986209285447,-0.20141958656230532,0,0,5.7115977819663835,0,-2.2516088060588246,6.352199737916422,9.995942567696694,9.995942567696694,-9.995942567696694,0,4.613396164577121,0,6.685096749885773,6.352199737916422,0,9.995942567696694,6.352199737916422,-5.711597781966383,0,0,2.9863015843644143,4.096154143151753,0,2.728638170939986,-5.711597781966383,9.995942567696694,9.995942567696694,9.995942567696694,0,7.226986209285447,-7.084008572120233,-7.226986209285447,-5.711597781966383,0,-2.3408451979667615
none,0,-5.803489128499226,0,0,0,0,9.616682537645621,0,0,0,0,0,0,-6.645998405690127,0,0,0,0,0,0,0,0,0,3.6882952580584534,-6.368366669091848,0,0,0,0,0,0,0,0,0,0,0,0
none,0,-5.970936315400964,0,0,0,0,0,-8.721439161976749,0,0,0,-3.048303695286578,0,-5.554387076965365,-5.1540359321981315,0,0,0,0,0,0,0,0,2.7956396943006863,-6.811535041842296,0,0,0,0,0,0,0,0,0,0,0,0
none,0,-5.203952744503212,7.595314904221878,7.595314904221878,0,-7.595314904221878,8.72138196037511,3.770896617475282,5.361240871093803,5.361240871093803,-5.361240871093803,7.595314904221878,0,1.8281271133989296,1.1469928981622914,3.770896617475282,-7.595314904221878,5.361240871093803,3.770896617475282,0,7.595314904221878,7.595314904221878,5.361240871093803,5.738604307588972,-5.530627728554984,3.770896617475282,0,5.361240871093803,5.361240871093803,5.361240871093803,7.595314904221878,0,-8.277147280931787,0,0,7.595314904221878,0
none,8.556383914848066,0,0,0,0,0,0,0,0,-7.825301702946593,0,0,9.105875176133804,0,0,0,0,0,0,0,0,0,0,-0.1454148497286319,0,0,0,0,0,0,0,8.556383914848066,-11.521015528251828,-8.556383914848066,6.063930059424682,-6.520412941874571,-3.1703064898118054
none,5.200490125319537,0,4.905009360381937,4.905009360381937,0,-4.905009360381937,9.467160597013088,0,4.776852416631727,-0.5108256237659904,-4.776852416631727,4.905009360381937,11.37252902932126,4.905009360381937,4.776852416631727,0,-4.905009360381937,4.776852416631727,0,0,4.905009360381937,4.905009360381937,4.776852416631727,3.1433160828225546,0,0,0,-0.83473663451423,4.776852416631727,4.776852416631727,4.905009360381937,5.200490125319537,-7.527716155323238,0.9679017723852286,0,4.905009360381937,-5.200490125319537
none,5.92765082735632,0,0,0,0,0,0,4.939777330368308,1.6238407386161107,1.6238407386161107,-1.6238407386161104,0,0,0,1.6238407386161107,7.926044948697666,0,1.6238407386161107,7.926044948697666,0,0,0,1.6238407386161107,-9.146547054974812,0,7.926044948697666,0,1.6238407386161107,1.6238407386161107,1.6238407386161107,0,5.92765082735632,-10.527202094285661,-0.9120914510325981,0,0,-0.639764766664012
FA,7.231224849429937,-3.6631269580115218,7.887871365994945,7.887871365994945,2.8463069183587537,-7.887871365994945,-2.8463069183587537,12.113044177626744,11.698467582845936,7.3190060568027135,-11.698467582845936,7.887871365994945,-2.8463069183587537,-0.8865209812963482,11.698467582845936,12.113044177626744,1.0771174620781043,11.698467582845936,12.113044177626744,-2.8463069183587537,7.887871365994945,7.887871365994945,11.698467582845936,-9.200578698371904,0,12.113044177626744,-2.8463069183587537,11.698467582845936,11.698467582845936,11.698467582845936,7.887871365994945,2.1274011234788444,-7.499944375391095,-7.231224849429937,4.869358079982728,7.887871365994945,-2.3569183716090736
FA,0,2.358965426430153,0,0,6.494430747555211,0,-6.494430747555211,0,-2.9695090784548883,3.892903683953747,-3.892903683953747,-5.092750340368511,-6.494430747555211,0,3.892903683953747,0,0,3.892903683953747,0,-6.494430747555211,0,0,3.892903683953747,4.457197089752117,0,0,4.000044002965696,3.892903683953747,3.892903683953747,3.892903683953747,0,-5.165634037962984,-11.272062347361201,5.534751840538601,-6.494430747555211,-7.237150242684217,0
FA,6.843997319452763,1.057823600281182,0,0,5.4508571687097636,0,-5.4508571687097636,0,-2.2958137528708726,3.453697547436542,-3.453697547436542,0,4.779064017095216,-4.142232882773924,-0.9688715406175481,0,6.208490829086459,3.453697547436542,0,-5.4508571687097636,-7.0332892205359485,0,3.453697547436542,-5.600827721488423,-1.277718078714059,0,3.261804508003178,-6.036442311619617,3.453697547436542,3.453697547436542,-8.3648401028804,-0.5414055599560799,-10.92304212582136,0.9379280102812071,-5.4508571687097636,-8.870874398010667,0.1269977940648784
FA,7.598855732195063,0.7344997942287061,6.771447285246349,0.8356833279665106,1.3955967537822043,-6.771447285246349,-5.12252160130513,7.889015398277415,-4.687992360253054,0,0,6.771447285246349,6.215437615388953,6.771447285246349,0,7.889015398277415,-0.216545429181532,-7.547355054181627,7.889015398277415,-0.7676113414974863,6.771447285246349,6.771447285246349,-10.170740318071124,-4.453946253537084,-3.0522967147302182,7.889015398277415,3.325402327165996,-12.48100890441403,-8.723995029858862,0,6.771447285246349,1.2278793712122544,-8.583071917810633,-0.8756146694957131,-2.6672282065819553,2.388262246970539,0.3060444766223754
none,0,4.950437746985621,0,0,4.950437746985621,1.2071815219936133,0.5722691793764538,0,-5.028764820526138,0,2.571170125599205,0,-3.5807372954942327,0,0,0,0,0,0,-4.950437746985621,0,0,0,-7.452221641194217,-2.1581578118556584,0,-4.950437746985621,-2.8341125918752303,0,0,0,-4.595551890096014,-11.457394242026917,5.54754328251418,-4.950437746985621,0,0
none,0.8444877933956502,-4.495545844618744,-7.051269185476393,0,0,0,0,0,-3.7991073829747255,-5.797910801661261,0,-5.724718706294555,0,0,0,0,0,0,0,0,0,0,0,-5.771946941472453,-2.283980150011866,0,8.286186793651751,-7.941160065944048,0,0,-5.865552751137294,7.895756978872043,-10.590607853570496,-7.895756978872043,0,0,-7.895756978872043
FA,6.038622590791067,2.1506839136626312,7.245234835874538,9.198580440353004,7.439165149125159,-9.198580440353004,-7.439165149125159,0,0,-8.870481405998145,3.1182072786877755,9.198580440353004,-7.439165149125159,9.198580440353004,0,0,-9.198580440353004,0,0,-7.439165149125159,0.9656345521126554,9.198580440353004,0,-10.76509384761208,0,0,-7.439165149125159,-3.918636205083441,0,0,9.198580440353004,7.991968195269532,-12.683551027372124,-3.277226408983564,-7.439165149125159,3.929306887250278,-7.991968195269532
FA,-1.3645088935809164,2.9580274137960516,-1.3645088935809164,0,0.762790080294695,0,-3.4055761188266445,0,-6.7567465856442235,-4.821526345340762,0,0,-8.197780061301817,0,0,0,0,0,0,-8.197780061301817,-6.330843928780592,0,0,-3.0619926570236533,0,-9.71063034439245,-8.197780061301817,0,0,0,0,-7.124286554349615,-11.86862163958161,8.825909793511972,0.02327853232481799,-6.919619479546989,0
none,0,0,0,0,0,0,0,0,4.7155604899443775,4.7155604899443775,-4.715560489944378,0,0,0,-0.340869458803535,0,0,4.7155604899443775,0,0,0,0,4.7155604899443775,-6.849128659828375,0,0,0,4.7155604899443775,4.7155604899443775,4.7155604899443775,0,0,-11.608088161534042,0,0,0,0
